Word,ReadingKana,Occurences,ReadingFrequency,PitchPositions,Status,SupportStrength,MatchCount,MatchExamples,Definitions,ExampleSentence,JmDictWordId
お菓子,おかし,10,2549,2,objectively_absent,9,0,,"confections,sweets,candy,cake",茶色でゴツゴツした見た目でまるでいわのような**お菓子**です。,1001710
ご存知,ごぞんじ,10,8053,2,objectively_absent,9,0,,"knowing,being aware (of),(an) acquaintance",リボンやあかしがついているポケモンにできることを**ご存知**ですか？,1593570
やる気,やるき,10,1734,0,objectively_absent,9,0,,"will (to do something),drive,motivation,enthusiasm,eagerness",彼が表彰台から放った言葉にライバルたちも**やる気**がみなぎる！,2005890
壊れる,こわれる,10,1219,3,objectively_absent,9,0,,"to be broken,to break,to fall apart,to collapse,to be destroyed,to be damaged,to break (down),to stop working,to fall through (of a plan, deal, etc.),to collapse,to break down (of a relationship, negotiations, etc.),to be broken off,to be ruined (of an atmosphere, one's image, etc.)",ところがダイオウドウが暴れてしまいなんと壁画が**壊れてしまった**んです！,1199900
楽園,らくえん,10,9563,0,objectively_absent,9,0,,"paradise,Eden",時ハ満ちタ夢ノ礎トナリタまエ僕ノ**楽園**ハ壊セなイ殲滅準備ヲ開始スル…。,1207290
活躍,かつやく,10,2398,0,objectively_absent,9,0,,"activity (esp. energetic or successful),great efforts,active participation,walking about with great vigor",ピリッとホットに**活躍してくれ**！,1208450
興味深い,きょうみぶかい,10,3957,5,objectively_absent,9,0,,"very interesting,of great interest",**興味深イ**未来ノポケモンソノ弱点ヲ理解シテイルノカ？,1238420
現れる,あらわれる,10,671,4,objectively_absent,9,0,,"to appear,to come in sight,to become visible,to come out,to embody,to materialize,to materialise,to be expressed (e.g. emotions),to become apparent (e.g. trends, effects)",,1263510
合格者,ごうかくしゃ,10,32946,"4,3",objectively_absent,9,0,,"successful candidate,successful applicant,person who has passed an exam",ここではジム**合格者**も引き続き喜怒驚楽エクササイズを楽しめるぞ！,1284620
財宝,ざいほう,10,17897,0,objectively_absent,9,0,,treasure,興味深い答えだが本当にあったらオーパーツものだ正解は**財宝**だよそう！,1296990
若い,わかい,10,574,2,objectively_absent,9,0,,"young,youthful,immature,green,low (number),small",,1324300
助かる,たすかる,10,533,3,objectively_absent,9,0,,"to be saved,to be rescued,to survive,to escape harm,to be spared damage,to be helped,to be saved trouble",ちょっと何言ってるかわかんないけど**助かる**ぜ！,1344380
親愛,しんあい,10,12962,0,objectively_absent,9,0,,"deep affection,dear,beloved",**親愛**なるオヌシたち！,1365090
正直,しょうじき,10,624,"3,4",objectively_absent,9,0,,"honest,frank,candid,straightforward,honestly,frankly",**正直**すぎてちょっとビックリ指名手配中のヤツほど違うって言うからね…。！,1377590
生きる,いきる,10,216,2,objectively_absent,9,0,,"to live,to exist,to make a living,to subsist,to be in effect,to be in use,to function,to come to life,to be enlivened,to be safe (in baseball, go, etc.)",,1378520
全員,ぜんいん,10,591,0,objectively_absent,9,0,,"all members,all hands,everyone,everybody,whole crew",来たねチャンピオン同士のポケモン勝負噂を聞きつけてみんなも集まってきたみたいここにいる**全員**！,1394840
隊,たい,10,4433,1,objectively_absent,9,0,,"party,group,crew,team,body,company (of troops),corps,unit,squad",エリアゼロ冒険団エリアゼロ観測**隊**エリアゼロ調査隊……不正解！,1956610
団員,だんいん,10,23911,0,objectively_absent,9,0,,group member,ゲート前で戦った**団員**だ話をしたくて来てもらった……話っていうのは？,1419180
同胞,どうほう,10,11810,"0,2",objectively_absent,9,0,,"brethren,brothers,fellow countrymen,fellowman,compatriot",シュウメイ殿にはスター団以外にもぼくっていう**同胞**がいるんだって！,1582360
特訓,とっくん,10,6311,0,objectively_absent,9,0,,"special training,intensive training,crash course",手を抜いたら**特訓**にならないし！,1454850
突然,とつぜん,10,608,0,objectively_absent,9,0,,"abrupt,sudden,unexpected",**突然**ですがセイジの！,1457040
悩む,なやむ,10,1102,2,objectively_absent,9,0,,"to be worried,to be troubled",……とりあえず店に入って**悩む**かな冷え性にはぶあつい靴下がいいの！,1469870
半分,はんぶん,10,1082,"3,0",objectively_absent,9,0,,half,**半分**になる変わらない２倍になるあら逆転の発想ね！,1479890
彼ら,かれら,10,965,1,objectively_absent,9,0,,"they,them",それは大ニュースですよ今も**彼ら**はいますか？,1483090
悲しい,かなしい,10,1005,"0,3",objectively_absent,9,0,,"sad,miserable,unhappy,sorrowful,sad,lamentable,deplorable,grievous",お返事ないとサッドネスワシ**悲しく**なってしまうね前のレッスンではいろんな国の『おいしい』を教えたよね！,1483190
分秒,ふんびょう,10,124066,0,objectively_absent,9,0,,moment,我のほうが学ばせてもらったかいやはやお疲れさまでスターでござる今回殿が匹打倒に費やした時間は**分秒**！,1504150
保健,ほけん,10,19613,0,objectively_absent,9,0,,"preservation of health,hygiene,sanitation,health education (school subject)",そんときはビシバシ**保健**教えてあげるよ！,1513410
暮らす,くらす,10,758,0,objectively_absent,9,0,,"to live (on, by, etc.),to lead a life,to get along,to get by,to make a living,to earn a livelihood,to spend one's time (doing),to pass one's days (doing),to live,to get on (doing),to do daily,to do all day long,to continue doing",しばらく博士ともう１匹とエリアゼロで**暮らしてた**んだよね？,1514940
名物,めいぶつ,10,8195,1,objectively_absent,9,0,,"famous product,special product,speciality,specialty",ケツに火がついちまったさすがにやるじゃねえかアカデミー**名物**地獄の階段！,1531810
理解,りかい,10,707,1,objectively_absent,9,0,,"understanding,comprehension,appreciation,sympathy",興味深イ未来ノポケモンソノ弱点ヲ**理解**シテイルノカ？,1549910
